policy_no_f,prod_id,face_amt,apc_id_sas_f,insd_id_sas_f,sex,age,annual_income_amt
535363130303534,HB,20,A2302E35323330373031,A2302E35323330373031,2,50,1500000
739313233323934,JB,100,N2302E31363239303535,E1302E36363037363131,1,13,2000000
931303539303935,M4,50,F1302E33373831353131,F1302E33373831353131,1,29,450000
732353137363737,TJ,100,H2302E38383037393536,H2302E38383037393536,2,54,750000
931333838303632,EU,55,M2302E31313033363237,M1302E38343534333732,1,6,1000000
932313034353639,CC3,10,N2302E34363536313338,N2302E34363536313338,2,47,NULL
339373531303035,FL,30,S1302E39313935303234,S1302E39313935303234,1,36,NULL
930383937343833,J5,30,Y2302E31393533393739,S2302E34323337373336,2,26,600000
737303636363436,JB,60,T1302E34343132343433,T1302E33373032373038,1,13,NULL
930343436393332,E6,500,T2302E30363535373838,T2302E30363535373838,2,35,400000
732333334303239,MD,50,G2302E36383338393132,G1302E30343431303837,1,41,NULL
135303039303732,9OK,300,M2302E32313236363231,M2302E32313236363231,2,24,NULL
931303430373733,N61,10,S2302E30353235333533,E2302E34303030333333,2,23,500000
931383034353235,ZC1,60,B2302E38353335363932,N2302E33323534333633,2,14,800000
737303438303738,HM1,40,R1302E30383130353032,R2302E39353239373934,2,18,3000000
931373037383736,IG3,6000,R2302E33373836303938,R2302E33373836303938,2,26,300000
732313434393736,HK1,50,F2302E39393231363232,F1302E39353838343939,1,17,500000
932313134333839,TDA,0,A2302E30363035363033,A2302E30363035363033,2,71,1000000
930333930333038,YC2,10,S2302E32383037343932,S2302E32383037343932,2,30,250000
931373833363234,IG3,25000,J2302E36343839383934,J2302E36343839383934,2,54,1500000
930343238333132,ZD2,5,N2302E37383238323638,N2302E37383238323638,2,36,1100000
930323933313734,YD3,0,B2302E39333931383532,A1302E30323535363035,1,28,3000000
932313132383937,WU3,25,Q2302E38343139373439,Q2302E38343139373439,2,70,300000
930333834303439,TE1,270,G1302E36303634333835,Q2302E30393137313630,2,48,10000
739303835333531,HF3,2,T2302E38333431363936,T1302E30393438333635,1,33,1000000
931393733353733,N62,1,H2302E36353532393833,H2302E31383339373139,2,19,600000
931353930333538,EV2,7,F1302E39393032333938,F1302E39393032333938,1,32,480000
739303232393934,HB2,30,T1302E34353333323237,T1302E39313430303431,1,24,300000
931373531383034,AGD,10000,E1302E30353132333138,E1302E30353132333138,1,42,1000000
930333937363530,E5,1000,S2302E35373232313531,S2302E30393335323937,2,15,360000
930373034323338,G4,92,R2302E38313039333737,R1302E36363935353938,1,47,600000
739313830303534,OJ,1,Q2302E38383237353731,Q2302E38383237353731,2,28,250000
930353838313135,E6,1000,D2302E35303239353334,D2302E35303239353334,2,42,500000
930353732363436,G3,14,S2302E31333631373530,S2302E31333631373530,2,15,250000
732323532333933,JE,20,F2302E35363232373334,C1302E34323430363234,1,14,500000
931313235333137,IU,4,L2302E37353833373732,L2302E39343834393438,2,18,500000
931383136393332,M0,10,N1302E30343636363039,N1302E30343636363039,1,69,2000000
739323330353039,QV,1000,T2302E30383035323739,T2302E30383035323739,2,20,500000
930363237383138,G4,51,F1302E37323339393333,F1302E34373035353639,1,8,10000000
931303031333939,FV,1000,Q2302E39363639373037,Q2302E39363639373037,2,29,300000
732323233373839,JA,100,F2302E35363639323332,F2302E35363639323332,2,50,900000
931393033353532,WN,88,J2302E30333031383530,J2302E30333031383530,2,69,1000000
739323630363638,TE,108,S1302E37343837383630,S1302E37343837383630,1,27,750000
931393734333530,C6,36,D2302E34303639333735,D2302E34303639333735,2,33,800000
930333834313631,VY,0,F2302E34353330383637,F2302E34353330383637,2,51,2000000
732333735303032,MF,26,Q2302E32373330393534,F1302E37323630363533,1,22,300000
931303339323133,GN,1,N1302E30343635363538,N1302E38343033343235,1,12,1500000
931363531353735,DH,24,F2302E34313638393339,F2302E31383435373337,2,19,1000000
739323338323737,TJ,300,E2302E36343531373535,E2302E36343531373535,2,35,250000
737303838323835,JQ,1000,R2302E37363830393232,R1302E35353536353930,1,14,500000
732343034353039,PJ,10,F1302E33333732303132,F1302E33333732303132,1,24,535200
737323030383834,QL,10,R1302E30343930363836,R1302E30343930363836,1,45,620000
930353636363235,E6,1000,A2302E30323036383536,K1302E36313735313039,1,36,600000
732313433373036,HQ,10,F2302E33393633333435,F1302E33373233323936,1,10,500000
930333337333134,VY,0,L2302E31323830303036,L2302E31323830303036,2,48,600000
339373836313431,FL,50,T2302E32343834363732,T2302E32343834363732,2,39,500000
130303136313834,9YY,10,F1302E36313231343832,F2302E31323536343639,2,0,NULL
735303133393136,FL1,10,L2302E31323333393637,L2302E31323333393637,2,42,NULL
931393938383537,N63,1,F1302E34303837383233,F1302E34303837383233,1,42,NULL
739303433373434,FR2,160,E2382E39383137313030,T2302E39343632393735,2,17,NULL
731303031373831,GM1,60,J1302E33313531333036,J1302E33313531333036,1,64,NULL
735313633393031,LL,100,N2302E34323634373634,N2302E39313932343337,2,7,NULL
930323231363139,VR,500,BA302E38383234363734,BA302E38383234363734,1,44,NULL
338323935323538,FL,30,P2302E31343736363638,P2302E31343736363638,2,30,NULL
337363032343136,FJ,100,11302E39373436363332,A1302E35333938343630,1,35,NULL
336393430323732,FF,20,R1302E33383132333536,R1302E33383132333536,1,46,NULL
739313039353534,JE,40,T2302E33353938303334,S2302E30323338363134,2,6,NULL
336393232363838,FF,10,R1302E34323237353437,R1302E34323237353437,1,54,NULL
